"Cod";"Municipio";"Total";"Algodao";"Arroz";"Feijao";"Mandioca";"Milho";"Soja";"Trigo"
"2208809";"Regeneração (PI)";"..";"-";"994";"167";"1098";"1030";"22928";"-"
"2208858";"Riacho Frio (PI)";"..";"-";"40";"143";"150";"465";"-";"-"
"2208874";"Ribeira do Piauí (PI)";"..";"-";"16";"189";"26";"1396";"-";"-"
"2208908";"Ribeiro Gonçalves (PI)";"..";"-";"913";"367";"220";"129799";"248106";"-"
"2209005";"Rio Grande do Piauí (PI)";"..";"-";"24";"400";"180";"2304";"-";"-"
"2209104";"Santa Cruz do Piauí (PI)";"..";"-";"2";"429";"270";"676";"-";"-"
"2209153";"Santa Cruz dos Milagres (PI)";"..";"-";"163";"18";"100";"458";"-";"-"
"2209203";"Santa Filomena (PI)";"..";"-";"3610";"132";"588";"62831";"149569";"-"
"2209302";"Santa Luz (PI)";"..";"-";"216";"445";"400";"900";"-";"-"
"2209351";"Santana do Piauí (PI)";"..";"-";"-";"314";"4000";"640";"-";"-"
"2209377";"Santa Rosa do Piauí (PI)";"..";"-";"98";"141";"165";"1510";"-";"-"
"2209401";"Santo Antônio de Lisboa (PI)";"..";"-";"-";"1441";"560";"60";"-";"-"
"2209450";"Santo Antônio dos Milagres (PI)";"..";"-";"59";"14";"8";"90";"-";"-"
"2209500";"Santo Inácio do Piauí (PI)";"..";"-";"-";"76";"225";"62";"-";"-"
"2209559";"São Braz do Piauí (PI)";"..";"-";"-";"98";"1071";"54";"-";"-"
"2209609";"São Félix do Piauí (PI)";"..";"-";"42";"45";"40";"486";"-";"-"
"2209658";"São Francisco de Assis do Piauí (PI)";"..";"3";"1";"179";"122";"75";"-";"-"
"2209708";"São Francisco do Piauí (PI)";"..";"-";"33";"310";"162";"1482";"-";"-"
"2209757";"São Gonçalo do Gurguéia (PI)";"..";"-";"890";"458";"95";"374";"1476";"-"
"2209807";"São Gonçalo do Piauí (PI)";"..";"-";"459";"95";"600";"1380";"2520";"-"
"2209856";"São João da Canabrava (PI)";"..";"-";"1";"189";"330";"450";"-";"-"
"2209872";"São João da Fronteira (PI)";"..";"-";"-";"343";"70";"581";"-";"-"
"2209906";"São João da Serra (PI)";"..";"-";"603";"111";"150";"701";"-";"-"
"2209955";"São João da Varjota (PI)";"..";"-";"146";"494";"315";"1341";"-";"-"
"2209971";"São João do Arraial (PI)";"..";"-";"235";"13";"480";"235";"-";"-"
"2210003";"São João do Piauí (PI)";"..";"-";"-";"144";"240";"594";"-";"-"
"2210052";"São José do Divino (PI)";"..";"-";"868";"118";"175";"644";"-";"-"
"2210102";"São José do Peixe (PI)";"..";"-";"152";"94";"80";"987";"-";"-"
"2210201";"São José do Piauí (PI)";"..";"-";"2";"864";"2000";"2520";"-";"-"
"2210300";"São Julião (PI)";"..";"-";"-";"140";"10";"14";"-";"-"
"2210359";"São Lourenço do Piauí (PI)";"..";"-";"-";"76";"42";"15";"-";"-"
"2210375";"São Luis do Piauí (PI)";"..";"-";"12";"66";"24";"86";"-";"-"
"2210383";"São Miguel da Baixa Grande (PI)";"..";"-";"68";"13";"420";"325";"-";"-"
"2210391";"São Miguel do Fidalgo (PI)";"..";"-";"60";"94";"120";"788";"-";"-"
"2210409";"São Miguel do Tapuio (PI)";"..";"-";"228";"851";"1350";"896";"-";"-"
"2210508";"São Pedro do Piauí (PI)";"..";"-";"225";"126";"840";"1120";"-";"-"
"2210607";"São Raimundo Nonato (PI)";"..";"-";"-";"192";"3060";"48";"-";"-"
"2210623";"Sebastião Barros (PI)";"..";"-";"29";"337";"540";"625";"1161";"-"
"2210631";"Sebastião Leal (PI)";"..";"-";"933";"175";"200";"50460";"72521";"-"
"2210656";"Sigefredo Pacheco (PI)";"..";"-";"23";"729";"60";"1325";"-";"-"
"2210706";"Simões (PI)";"..";"75";"-";"63";"5250";"49";"-";"-"
"2210805";"Simplício Mendes (PI)";"..";"-";"1";"363";"38";"1146";"-";"-"
"2210904";"Socorro do Piauí (PI)";"..";"-";"6";"185";"150";"915";"-";"-"
"2210938";"Sussuapara (PI)";"..";"-";"30";"28";"110";"40";"-";"-"
"2210953";"Tamboril do Piauí (PI)";"..";"-";"-";"189";"100";"456";"-";"-"
"2210979";"Tanque do Piauí (PI)";"..";"-";"428";"35";"32";"810";"900";"-"
"2211001";"Teresina (PI)";"..";"-";"1254";"176";"2400";"1538";"-";"-"
"2211100";"União (PI)";"..";"-";"837";"239";"1200";"1360";"-";"-"
"2211209";"Uruçuí (PI)";"..";"12995";"7482";"2101";"1470";"398206";"390332";"-"
"2211308";"Valença do Piauí (PI)";"..";"-";"96";"365";"3200";"693";"-";"-"
"2211357";"Várzea Branca (PI)";"..";"-";"-";"139";"40";"40";"-";"-"
"2211407";"Várzea Grande (PI)";"..";"-";"235";"12";"100";"387";"-";"-"
"2211506";"Vera Mendes (PI)";"..";"-";"-";"134";"9";"32";"-";"-"
"2211605";"Vila Nova do Piauí (PI)";"..";"-";"-";"378";"200";"198";"-";"-"
"2211704";"Wall Ferraz (PI)";"..";"-";"1";"518";"60";"641";"-";"-"
"2300101";"Abaiara (CE)";"..";"-";"-";"500";"40";"5508";"-";"-"
"2300150";"Acarape (CE)";"..";"-";"20";"170";"244";"318";"-";"-"
"2300200";"Acaraú (CE)";"..";"-";"-";"725";"29961";"1650";"-";"-"
"2300309";"Acopiara (CE)";"..";"6";"-";"1105";"18";"2510";"-";"-"
"2300408";"Aiuaba (CE)";"..";"-";"-";"1802";"445";"1901";"-";"-"
"2300507";"Alcântaras (CE)";"..";"-";"-";"302";"305";"396";"-";"-"
"2300606";"Altaneira (CE)";"..";"-";"-";"120";"30";"1200";"-";"-"
"2300705";"Alto Santo (CE)";"..";"-";"-";"319";"-";"18";"-";"-"
"2300754";"Amontada (CE)";"..";"-";"-";"1344";"23017";"1853";"-";"-"
"2300804";"Antonina do Norte (CE)";"..";"2";"-";"134";"-";"539";"-";"-"
"2300903";"Apuiarés (CE)";"..";"-";"-";"458";"154";"1320";"-";"-"
"2301000";"Aquiraz (CE)";"..";"-";"-";"110";"1500";"39";"-";"-"
"2301109";"Aracati (CE)";"..";"-";"-";"279";"994";"77";"-";"-"
"2301208";"Aracoiaba (CE)";"..";"-";"4";"1073";"331";"2242";"-";"-"
"2301257";"Ararendá (CE)";"..";"-";"-";"115";"50";"2443";"-";"-"
"2301307";"Araripe (CE)";"..";"-";"-";"371";"40200";"6000";"-";"-"
"2301406";"Aratuba (CE)";"..";"-";"-";"399";"-";"1087";"-";"-"
"2301505";"Arneiroz (CE)";"..";"-";"-";"255";"16";"293";"-";"-"
"2301604";"Assaré (CE)";"..";"9";"12";"1595";"104";"9889";"-";"-"
"2301703";"Aurora (CE)";"..";"-";"11";"663";"15";"4604";"-";"-"
"2301802";"Baixio (CE)";"..";"-";"-";"40";"-";"214";"-";"-"
"2301851";"Banabuiú (CE)";"..";"-";"-";"1200";"190";"1500";"-";"-"
"2301901";"Barbalha (CE)";"..";"-";"9";"250";"1046";"660";"-";"-"
"2301950";"Barreira (CE)";"..";"-";"-";"566";"478";"559";"-";"-"
"2302008";"Barro (CE)";"..";"-";"-";"587";"95";"1336";"-";"-"
"2302057";"Barroquinha (CE)";"..";"-";"-";"83";"3581";"220";"-";"-"
"2302107";"Baturité (CE)";"..";"-";"46";"99";"35";"5550";"-";"-"
"2302206";"Beberibe (CE)";"..";"-";"-";"312";"777";"151";"-";"-"
"2302305";"Bela Cruz (CE)";"..";"-";"-";"698";"29975";"1154";"-";"-"
"2302404";"Boa Viagem (CE)";"..";"-";"-";"1580";"-";"2461";"-";"-"
"2302503";"Brejo Santo (CE)";"..";"-";"-";"1459";"235";"2694";"-";"-"
"2302602";"Camocim (CE)";"..";"-";"-";"561";"21053";"1452";"-";"-"
"2302701";"Campos Sales (CE)";"..";"-";"-";"630";"116";"1408";"-";"-"
"2302800";"Canindé (CE)";"..";"-";"-";"2031";"58";"3903";"-";"-"
"2302909";"Capistrano (CE)";"..";"-";"-";"455";"-";"4346";"-";"-"
"2303006";"Caridade (CE)";"..";"-";"-";"1452";"-";"2232";"-";"-"
"2303105";"Cariré (CE)";"..";"-";"2";"1128";"40";"2916";"-";"-"
"2303204";"Caririaçu (CE)";"..";"-";"6";"1062";"56";"1680";"-";"-"
"2303303";"Cariús (CE)";"..";"-";"600";"349";"100";"403";"-";"-"
"2303402";"Carnaubal (CE)";"..";"-";"-";"46";"221";"25";"-";"-"
"2303501";"Cascavel (CE)";"..";"-";"-";"79";"2162";"55";"-";"-"
"2303600";"Catarina (CE)";"..";"4";"-";"112";"39";"300";"-";"-"
"2303659";"Catunda (CE)";"..";"-";"-";"1659";"15";"2512";"-";"-"
"2303709";"Caucaia (CE)";"..";"-";"-";"522";"3361";"862";"-";"-"
"2303808";"Cedro (CE)";"..";"-";"16";"139";"2";"1356";"-";"-"
"2303907";"Chaval (CE)";"..";"-";"-";"126";"1828";"192";"-";"-"
"2303931";"Choró (CE)";"..";"6";"-";"960";"12";"2160";"-";"-"
"2303956";"Chorozinho (CE)";"..";"-";"-";"499";"342";"232";"-";"-"
"2304004";"Coreaú (CE)";"..";"-";"63";"197";"54";"592";"-";"-"
"2304103";"Crateús (CE)";"..";"-";"-";"5856";"330";"16288";"-";"-"
"2304202";"Crato (CE)";"..";"-";"141";"1080";"1580";"4550";"-";"-"
"2304236";"Croatá (CE)";"..";"-";"-";"229";"678";"309";"-";"-"
"2304251";"Cruz (CE)";"..";"-";"-";"1237";"20055";"1066";"-";"-"
"2304269";"Deputado Irapuan Pinheiro (CE)";"..";"-";"-";"238";"11";"1180";"-";"-"
"2304277";"Ererê (CE)";"..";"-";"-";"154";"34";"546";"-";"-"
"2304285";"Eusébio (CE)";"..";"-";"-";"7";"120";"8";"-";"-"
"2304301";"Farias Brito (CE)";"..";"-";"110";"871";"215";"8229";"-";"-"
"2304350";"Forquilha (CE)";"..";"-";"-";"540";"49";"1600";"-";"-"
"2304400";"Fortaleza (CE)";"..";"...";"...";"...";"...";"...";"...";"..."
"2304459";"Fortim (CE)";"..";"-";"-";"58";"744";"18";"-";"-"
"2304509";"Frecheirinha (CE)";"..";"-";"110";"232";"107";"824";"-";"-"
"2304608";"General Sampaio (CE)";"..";"-";"-";"336";"124";"855";"-";"-"
"2304657";"Graça (CE)";"..";"-";"164";"536";"1705";"1176";"-";"-"
"2304707";"Granja (CE)";"..";"-";"204";"2318";"37684";"5520";"-";"-"
"2304806";"Granjeiro (CE)";"..";"-";"-";"96";"49";"293";"-";"-"
"2304905";"Groaíras (CE)";"..";"-";"-";"252";"106";"816";"-";"-"
"2304954";"Guaiúba (CE)";"..";"-";"14";"176";"188";"630";"-";"-"
"2305001";"Guaraciaba do Norte (CE)";"..";"-";"-";"936";"3990";"1875";"-";"-"
"2305100";"Guaramiranga (CE)";"..";"-";"-";"31";"2";"98";"-";"-"
"2305209";"Hidrolândia (CE)";"..";"-";"-";"1667";"-";"2566";"-";"-"
"2305233";"Horizonte (CE)";"..";"-";"-";"162";"8100";"84";"-";"-"
"2305266";"Ibaretama (CE)";"..";"3";"-";"1200";"30";"1326";"-";"-"
"2305308";"Ibiapina (CE)";"..";"-";"34";"918";"950";"2432";"-";"-"
"2305332";"Ibicuitinga (CE)";"..";"-";"-";"2100";"1200";"1620";"-";"-"
"2305357";"Icapuí (CE)";"..";"-";"-";"66";"480";"29";"-";"-"
"2305407";"Icó (CE)";"..";"-";"288";"1279";"96";"3604";"-";"-"
"2305506";"Iguatu (CE)";"..";"-";"995";"305";"100";"499";"-";"-"
"2305605";"Independência (CE)";"..";"-";"-";"287";"21";"210";"-";"-"
"2305654";"Ipaporanga (CE)";"..";"-";"-";"1142";"144";"3585";"-";"-"
"2305704";"Ipaumirim (CE)";"..";"-";"-";"173";"-";"689";"-";"-"
"2305803";"Ipu (CE)";"..";"-";"7";"752";"942";"1670";"-";"-"
"2305902";"Ipueiras (CE)";"..";"-";"4";"393";"1283";"2520";"-";"-"
"2306009";"Iracema (CE)";"..";"-";"-";"150";"2";"269";"-";"-"
"2306108";"Irauçuba (CE)";"..";"-";"-";"1100";"5";"1320";"-";"-"
"2306207";"Itaiçaba (CE)";"..";"-";"-";"45";"214";"27";"-";"-"
"2306256";"Itaitinga (CE)";"..";"-";"-";"60";"1000";"101";"-";"-"
"2306306";"Itapajé (CE)";"..";"-";"52";"380";"350";"1387";"-";"-"
"2306405";"Itapipoca (CE)";"..";"-";"-";"2780";"25158";"6093";"-";"-"
"2306504";"Itapiúna (CE)";"..";"-";"-";"688";"-";"2217";"-";"-"
"2306553";"Itarema (CE)";"..";"-";"-";"964";"21962";"992";"-";"-"
"2306603";"Itatira (CE)";"..";"-";"-";"846";"206";"6106";"-";"-"
"2306702";"Jaguaretama (CE)";"..";"-";"-";"225";"160";"145";"-";"-"
"2306801";"Jaguaribara (CE)";"..";"-";"-";"135";"440";"47";"-";"-"
"2306900";"Jaguaribe (CE)";"..";"-";"-";"519";"90";"213";"-";"-"
"2307007";"Jaguaruana (CE)";"..";"-";"1600";"172";"600";"529";"-";"-"
"2307106";"Jardim (CE)";"..";"-";"3";"21";"262";"300";"-";"-"
"2307205";"Jati (CE)";"..";"-";"-";"70";"763";"562";"-";"-"
"2307254";"Jijoca de Jericoacoara (CE)";"..";"-";"-";"144";"4838";"270";"-";"-"
"2307304";"Juazeiro do Norte (CE)";"..";"-";"27";"272";"178";"1050";"-";"-"
"2307403";"Jucás (CE)";"..";"-";"-";"132";"139";"440";"-";"-"
"2307502";"Lavras da Mangabeira (CE)";"..";"-";"150";"621";"19";"3056";"-";"-"
"2307601";"Limoeiro do Norte (CE)";"..";"-";"2356";"1257";"1077";"59";"-";"-"
"2307635";"Madalena (CE)";"..";"-";"-";"2146";"129";"7200";"-";"-"
"2307650";"Maracanaú (CE)";"..";"-";"-";"36";"93";"654";"-";"-"
"2307700";"Maranguape (CE)";"..";"-";"62";"624";"134";"1795";"-";"-"
"2307809";"Marco (CE)";"..";"-";"17";"473";"13740";"665";"-";"-"
"2307908";"Martinópole (CE)";"..";"-";"146";"460";"2771";"920";"-";"-"
"2308005";"Massapê (CE)";"..";"-";"-";"211";"280";"569";"-";"-"
"2308104";"Mauriti (CE)";"..";"-";"-";"2650";"1100";"12000";"-";"-"
"2308203";"Meruoca (CE)";"..";"-";"-";"148";"455";"150";"-";"-"
"2308302";"Milagres (CE)";"..";"-";"25";"401";"233";"6800";"-";"-"
"2308351";"Milhã (CE)";"..";"3";"-";"376";"67";"1435";"-";"-"
"2308377";"Miraíma (CE)";"..";"-";"-";"124";"-";"547";"-";"-"
"2308401";"Missão Velha (CE)";"..";"-";"6";"1762";"1940";"4824";"-";"-"
"2308500";"Mombaça (CE)";"..";"2";"-";"1127";"14";"1890";"-";"-"
"2308609";"Monsenhor Tabosa (CE)";"..";"-";"-";"376";"156";"1410";"-";"-"
"2308708";"Morada Nova (CE)";"..";"-";"4930";"1407";"489";"840";"-";"-"
"2308807";"Moraújo (CE)";"..";"-";"41";"155";"55";"363";"-";"-"
"2308906";"Morrinhos (CE)";"..";"-";"-";"297";"6340";"483";"-";"-"
"2309003";"Mucambo (CE)";"..";"-";"138";"454";"215";"1316";"-";"-"
"2309102";"Mulungu (CE)";"..";"-";"-";"304";"-";"870";"-";"-"
"2309201";"Nova Olinda (CE)";"..";"-";"5";"540";"269";"5566";"-";"-"
"2309300";"Nova Russas (CE)";"..";"-";"-";"238";"40";"1308";"-";"-"
"2309409";"Novo Oriente (CE)";"..";"-";"-";"3752";"135";"15504";"-";"-"
"2309458";"Ocara (CE)";"..";"-";"-";"2261";"282";"2242";"-";"-"
"2309508";"Orós (CE)";"..";"-";"21";"76";"110";"1400";"-";"-"
"2309607";"Pacajus (CE)";"..";"-";"-";"371";"6840";"144";"-";"-"
"2309706";"Pacatuba (CE)";"..";"-";"-";"127";"250";"367";"-";"-"
"2309805";"Pacoti (CE)";"..";"-";"315";"71";"-";"352";"-";"-"
"2309904";"Pacujá (CE)";"..";"-";"16";"233";"105";"608";"-";"-"
"2310001";"Palhano (CE)";"..";"-";"-";"222";"273";"141";"-";"-"
"2310100";"Palmácia (CE)";"..";"-";"450";"57";"-";"560";"-";"-"
"2310209";"Paracuru (CE)";"..";"-";"-";"420";"4860";"450";"-";"-"
"2310258";"Paraipaba (CE)";"..";"-";"-";"1294";"8300";"1800";"-";"-"
"2310308";"Parambu (CE)";"..";"-";"-";"1836";"215";"3267";"-";"-"
"2310407";"Paramoti (CE)";"..";"-";"-";"3012";"20";"3765";"-";"-"
"2310506";"Pedra Branca (CE)";"..";"-";"1";"345";"2";"840";"-";"-"
"2310605";"Penaforte (CE)";"..";"-";"-";"191";"915";"741";"-";"-"
"2310704";"Pentecoste (CE)";"..";"-";"-";"1208";"149";"3500";"-";"-"
"2310803";"Pereiro (CE)";"..";"-";"-";"374";"80";"1291";"-";"-"
"2310852";"Pindoretama (CE)";"..";"-";"-";"269";"2160";"192";"-";"-"
"2310902";"Piquet Carneiro (CE)";"..";"2";"-";"419";"5";"1278";"-";"-"
"2310951";"Pires Ferreira (CE)";"..";"-";"6";"459";"170";"1148";"-";"-"
"2311009";"Poranga (CE)";"..";"-";"-";"176";"420";"412";"-";"-"
"2311108";"Porteiras (CE)";"..";"-";"-";"649";"1415";"2875";"-";"-"
"2311207";"Potengi (CE)";"..";"-";"-";"1075";"10";"5120";"-";"-"
"2311231";"Potiretama (CE)";"..";"-";"-";"506";"-";"130";"-";"-"
"2311264";"Quiterianópolis (CE)";"..";"-";"-";"716";"100";"3451";"-";"-"
"2311306";"Quixadá (CE)";"..";"60";"-";"1800";"60";"3500";"-";"-"
"2311355";"Quixelô (CE)";"..";"7";"465";"245";"89";"1125";"-";"-"
"2311405";"Quixeramobim (CE)";"..";"378";"-";"2256";"210";"14400";"-";"-"
"2311504";"Quixeré (CE)";"..";"-";"923";"500";"20";"168";"-";"-"
"2311603";"Redenção (CE)";"..";"-";"633";"401";"1100";"1037";"-";"-"
"2311702";"Reriutaba (CE)";"..";"-";"9";"784";"1231";"2190";"-";"-"
"2311801";"Russas (CE)";"..";"-";"927";"373";"575";"595";"-";"-"
"2311900";"Saboeiro (CE)";"..";"7";"-";"168";"-";"325";"-";"-"
"2311959";"Salitre (CE)";"..";"-";"-";"2160";"55120";"1155";"-";"-"
"2312007";"Santana do Acaraú (CE)";"..";"-";"-";"578";"4080";"3082";"-";"-"
"2312106";"Santana do Cariri (CE)";"..";"-";"8";"412";"2969";"5670";"-";"-"
"2312205";"Santa Quitéria (CE)";"..";"-";"-";"4500";"49";"9000";"-";"-"
"2312304";"São Benedito (CE)";"..";"-";"-";"262";"2020";"526";"-";"-"
"2312403";"São Gonçalo do Amarante (CE)";"..";"-";"-";"337";"2823";"720";"-";"-"
"2312502";"São João do Jaguaribe (CE)";"..";"-";"1825";"200";"87";"134";"-";"-"
"2312601";"São Luís do Curu (CE)";"..";"-";"-";"315";"190";"945";"-";"-"
"2312700";"Senador Pompeu (CE)";"..";"5";"-";"904";"22";"4740";"-";"-"
"2312809";"Senador Sá (CE)";"..";"-";"8";"84";"1612";"252";"-";"-"
"2312908";"Sobral (CE)";"..";"-";"2";"1152";"248";"1938";"-";"-"
"2313005";"Solonópole (CE)";"..";"-";"-";"456";"23";"1000";"-";"-"
"2313104";"Tabuleiro do Norte (CE)";"..";"-";"549";"393";"100";"323";"-";"-"
"2313203";"Tamboril (CE)";"..";"-";"-";"3625";"392";"9738";"-";"-"
"2313252";"Tarrafas (CE)";"..";"-";"27";"623";"86";"2994";"-";"-"
"2313302";"Tauá (CE)";"..";"-";"-";"1280";"85";"3596";"-";"-"
"2313351";"Tejuçuoca (CE)";"..";"-";"-";"1562";"178";"2550";"-";"-"
"2313401";"Tianguá (CE)";"..";"-";"252";"820";"3188";"1006";"-";"-"
"2313500";"Trairi (CE)";"..";"-";"-";"1104";"17611";"1713";"-";"-"
"2313559";"Tururu (CE)";"..";"-";"-";"393";"16640";"1872";"-";"-"
"2313609";"Ubajara (CE)";"..";"-";"80";"659";"666";"1620";"-";"-"
"2313708";"Umari (CE)";"..";"-";"-";"191";"-";"464";"-";"-"
"2313757";"Umirim (CE)";"..";"-";"-";"926";"3300";"1960";"-";"-"
"2313807";"Uruburetama (CE)";"..";"-";"60";"240";"170";"630";"-";"-"
"2313906";"Uruoca (CE)";"..";"-";"112";"432";"1113";"1062";"-";"-"
"2313955";"Varjota (CE)";"..";"2";"5";"540";"112";"1260";"-";"-"
"2314003";"Várzea Alegre (CE)";"..";"-";"255";"734";"102";"6838";"-";"-"
"2314102";"Viçosa do Ceará (CE)";"..";"-";"432";"576";"2755";"1204";"-";"-"
"2400109";"Acari (RN)";"..";"-";"-";"6";"-";"2";"-";"-"
"2400208";"Açu (RN)";"..";"-";"-";"54";"-";"21";"-";"-"
"2400307";"Afonso Bezerra (RN)";"..";"-";"-";"43";"-";"10";"-";"-"
"2400406";"Água Nova (RN)";"..";"-";"-";"20";"-";"80";"-";"-"
"2400505";"Alexandria (RN)";"..";"-";"-";"-";"-";"-";"-";"-"
"2400604";"Almino Afonso (RN)";"..";"-";"3";"7";"-";"6";"-";"-"
"2400703";"Alto do Rodrigues (RN)";"..";"-";"-";"7";"-";"-";"-";"-"
"2400802";"Angicos (RN)";"..";"-";"-";"34";"-";"6";"-";"-"
"2400901";"Antônio Martins (RN)";"..";"-";"3";"7";"-";"12";"-";"-"
"2401008";"Apodi (RN)";"..";"-";"3000";"790";"111";"36";"-";"-"
"2401107";"Areia Branca (RN)";"..";"-";"-";"43";"276";"6";"-";"-"
"2401206";"Arês (RN)";"..";"-";"-";"30";"450";"3";"-";"-"
"2401305";"Augusto Severo (RN)";"..";"-";"-";"170";"-";"1";"-";"-"
"2401404";"Baía Formosa (RN)";"..";"-";"-";"12";"-";"6";"-";"-"
"2401453";"Baraúna (RN)";"..";"-";"-";"108";"-";"4";"-";"-"
"2401503";"Barcelona (RN)";"..";"-";"-";"4";"8";"3";"-";"-"
"2401602";"Bento Fernandes (RN)";"..";"-";"-";"3";"1700";"2";"-";"-"
"2401651";"Bodó (RN)";"..";"-";"-";"105";"2550";"75";"-";"-"
"2401701";"Bom Jesus (RN)";"..";"-";"-";"27";"3600";"11";"-";"-"
"2401800";"Brejinho (RN)";"..";"-";"-";"50";"250";"9";"-";"-"
"2401859";"Caiçara do Norte (RN)";"..";"-";"-";"-";"-";"6";"-";"-"
"2401909";"Caiçara do Rio do Vento (RN)";"..";"-";"-";"1";"-";"-";"-";"-"
"2402006";"Caicó (RN)";"..";"-";"-";"6";"-";"-";"-";"-"
"2402105";"Campo Redondo (RN)";"..";"-";"-";"11";"14";"9";"-";"-"
"2402204";"Canguaretama (RN)";"..";"-";"-";"35";"200";"17";"-";"-"
"2402303";"Caraúbas (RN)";"..";"-";"-";"31";"87";"22";"-";"-"
"2402402";"Carnaúba dos Dantas (RN)";"..";"-";"-";"10";"-";"1";"-";"-"
"2402501";"Carnaubais (RN)";"..";"-";"-";"81";"-";"15";"-";"-"
"2402600";"Ceará-Mirim (RN)";"..";"-";"-";"81";"-";"86";"-";"-"
"2402709";"Cerro Corá (RN)";"..";"-";"-";"51";"4250";"27";"-";"-"
"2402808";"Coronel Ezequiel (RN)";"..";"-";"-";"14";"40";"12";"-";"-"
"2402907";"Coronel João Pessoa (RN)";"..";"-";"-";"15";"16";"15";"-";"-"
"2403004";"Cruzeta (RN)";"..";"-";"-";"16";"-";"8";"-";"-"
"2403103";"Currais Novos (RN)";"..";"-";"-";"1";"-";"-";"-";"-"
"2403202";"Doutor Severiano (RN)";"..";"-";"3";"14";"45";"6";"-";"-"
"2403251";"Parnamirim (RN)";"..";"-";"-";"4";"200";"-";"-";"-"
"2403301";"Encanto (RN)";"..";"-";"3";"24";"-";"18";"-";"-"
"2403400";"Equador (RN)";"..";"-";"-";"1";"-";"-";"-";"-"
"2403509";"Espírito Santo (RN)";"..";"-";"-";"6";"100";"3";"-";"-"
"2403608";"Extremoz (RN)";"..";"-";"-";"15";"60";"38";"-";"-"
"2403707";"Felipe Guerra (RN)";"..";"-";"211";"64";"-";"3";"-";"-"
"2403756";"Fernando Pedroza (RN)";"..";"-";"-";"20";"-";"7";"-";"-"
"2403806";"Florânia (RN)";"..";"-";"-";"9";"-";"4";"-";"-"
"2403905";"Francisco Dantas (RN)";"..";"-";"-";"22";"-";"10";"-";"-"
"2404002";"Frutuoso Gomes (RN)";"..";"-";"-";"7";"9";"2";"-";"-"
"2404101";"Galinhos (RN)";"..";"-";"-";"7";"-";"2";"-";"-"
"2404200";"Goianinha (RN)";"..";"-";"-";"90";"105";"30";"-";"-"
"2404309";"Governador Dix-Sept Rosado (RN)";"..";"-";"-";"87";"-";"60";"-";"-"
"2404408";"Grossos (RN)";"..";"-";"-";"22";"-";"3";"-";"-"
"2404507";"Guamaré (RN)";"..";"-";"-";"29";"-";"4";"-";"-"
"2404606";"Ielmo Marinho (RN)";"..";"-";"-";"42";"2700";"52";"-";"-"
"2404705";"Ipanguaçu (RN)";"..";"-";"-";"44";"-";"8";"-";"-"
"2404804";"Ipueira (RN)";"..";"-";"39";"26";"-";"20";"-";"-"
"2404853";"Itajá (RN)";"..";"-";"-";"23";"-";"61";"-";"-"
"2404903";"Itaú (RN)";"..";"1";"-";"350";"-";"130";"-";"-"
"2405009";"Jaçanã (RN)";"..";"-";"-";"14";"100";"8";"-";"-"
"2405108";"Jandaíra (RN)";"..";"-";"-";"3";"30";"2";"-";"-"
"2405207";"Janduís (RN)";"..";"-";"-";"18";"-";"5";"-";"-"
"2405306";"Januário Cicco (RN)";"..";"-";"-";"27";"7000";"10";"-";"-"
"2405405";"Japi (RN)";"..";"-";"-";"5";"-";"2";"-";"-"
"2405504";"Jardim de Angicos (RN)";"..";"-";"-";"7";"-";"10";"-";"-"
"2405603";"Jardim de Piranhas (RN)";"..";"-";"-";"6";"-";"1";"-";"-"
"2405702";"Jardim do Seridó (RN)";"..";"-";"-";"8";"-";"2";"-";"-"
"2405801";"João Câmara (RN)";"..";"-";"-";"13";"420";"162";"-";"-"
"2405900";"João Dias (RN)";"..";"-";"-";"4";"15";"3";"-";"-"
"2406007";"José da Penha (RN)";"..";"-";"12";"3";"-";"6";"-";"-"
"2406106";"Jucurutu (RN)";"..";"-";"-";"30";"-";"4";"-";"-"
"2406155";"Jundiá (RN)";"..";"-";"-";"5";"60";"8";"-";"-"
"2406205";"Lagoa d'Anta (RN)";"..";"-";"-";"9";"4500";"5";"-";"-"
"2406304";"Lagoa de Pedras (RN)";"..";"-";"-";"30";"2000";"7";"-";"-"
"2406403";"Lagoa de Velhos (RN)";"..";"-";"-";"5";"8";"5";"-";"-"
"2406502";"Lagoa Nova (RN)";"..";"-";"-";"175";"3300";"140";"-";"-"
"2406601";"Lagoa Salgada (RN)";"..";"-";"-";"20";"2000";"8";"-";"-"
"2406700";"Lajes (RN)";"..";"-";"-";"77";"-";"18";"-";"-"
"2406809";"Lajes Pintadas (RN)";"..";"-";"-";"10";"7";"7";"-";"-"
"2406908";"Lucrécia (RN)";"..";"-";"1";"18";"4";"27";"-";"-"
"2407005";"Luís Gomes (RN)";"..";"-";"7";"30";"95";"14";"-";"-"
"2407104";"Macaíba (RN)";"..";"-";"-";"60";"1500";"50";"-";"-"
"2407203";"Macau (RN)";"..";"-";"-";"21";"-";"2";"-";"-"
"2407252";"Major Sales (RN)";"..";"-";"26";"38";"-";"36";"-";"-"
"2407302";"Marcelino Vieira (RN)";"..";"-";"-";"32";"-";"4";"-";"-"
"2407401";"Martins (RN)";"..";"-";"3";"24";"180";"22";"-";"-"
"2407500";"Maxaranguape (RN)";"..";"-";"-";"30";"1400";"36";"-";"-"
